image,mask
Drishti_GS/train/image/gdrishtiGS_002.png,Drishti_GS/train/mask/gdrishtiGS_002.png
Drishti_GS/train/image/gdrishtiGS_004.png,Drishti_GS/train/mask/gdrishtiGS_004.png
Drishti_GS/train/image/gdrishtiGS_010.png,Drishti_GS/train/mask/gdrishtiGS_010.png
Drishti_GS/train/image/gdrishtiGS_012.png,Drishti_GS/train/mask/gdrishtiGS_012.png
Drishti_GS/train/image/gdrishtiGS_015.png,Drishti_GS/train/mask/gdrishtiGS_015.png
Drishti_GS/train/image/gdrishtiGS_016.png,Drishti_GS/train/mask/gdrishtiGS_016.png
Drishti_GS/train/image/gdrishtiGS_022.png,Drishti_GS/train/mask/gdrishtiGS_022.png
Drishti_GS/train/image/gdrishtiGS_024.png,Drishti_GS/train/mask/gdrishtiGS_024.png
Drishti_GS/train/image/gdrishtiGS_026.png,Drishti_GS/train/mask/gdrishtiGS_026.png
Drishti_GS/train/image/gdrishtiGS_031.png,Drishti_GS/train/mask/gdrishtiGS_031.png
Drishti_GS/train/image/gdrishtiGS_032.png,Drishti_GS/train/mask/gdrishtiGS_032.png
Drishti_GS/train/image/gdrishtiGS_038.png,Drishti_GS/train/mask/gdrishtiGS_038.png
Drishti_GS/train/image/gdrishtiGS_040.png,Drishti_GS/train/mask/gdrishtiGS_040.png
Drishti_GS/train/image/gdrishtiGS_044.png,Drishti_GS/train/mask/gdrishtiGS_044.png
Drishti_GS/train/image/gdrishtiGS_045.png,Drishti_GS/train/mask/gdrishtiGS_045.png
Drishti_GS/train/image/gdrishtiGS_049.png,Drishti_GS/train/mask/gdrishtiGS_049.png
Drishti_GS/train/image/gdrishtiGS_051.png,Drishti_GS/train/mask/gdrishtiGS_051.png
Drishti_GS/train/image/gdrishtiGS_058.png,Drishti_GS/train/mask/gdrishtiGS_058.png
Drishti_GS/train/image/gdrishtiGS_060.png,Drishti_GS/train/mask/gdrishtiGS_060.png
Drishti_GS/train/image/gdrishtiGS_061.png,Drishti_GS/train/mask/gdrishtiGS_061.png
Drishti_GS/train/image/gdrishtiGS_062.png,Drishti_GS/train/mask/gdrishtiGS_062.png
Drishti_GS/train/image/gdrishtiGS_063.png,Drishti_GS/train/mask/gdrishtiGS_063.png
Drishti_GS/train/image/gdrishtiGS_064.png,Drishti_GS/train/mask/gdrishtiGS_064.png
Drishti_GS/train/image/gdrishtiGS_066.png,Drishti_GS/train/mask/gdrishtiGS_066.png
Drishti_GS/train/image/gdrishtiGS_068.png,Drishti_GS/train/mask/gdrishtiGS_068.png
Drishti_GS/train/image/gdrishtiGS_069.png,Drishti_GS/train/mask/gdrishtiGS_069.png
Drishti_GS/train/image/gdrishtiGS_075.png,Drishti_GS/train/mask/gdrishtiGS_075.png
Drishti_GS/train/image/gdrishtiGS_076.png,Drishti_GS/train/mask/gdrishtiGS_076.png
Drishti_GS/train/image/gdrishtiGS_080.png,Drishti_GS/train/mask/gdrishtiGS_080.png
Drishti_GS/train/image/gdrishtiGS_081.png,Drishti_GS/train/mask/gdrishtiGS_081.png
Drishti_GS/train/image/gdrishtiGS_084.png,Drishti_GS/train/mask/gdrishtiGS_084.png
Drishti_GS/train/image/gdrishtiGS_088.png,Drishti_GS/train/mask/gdrishtiGS_088.png
Drishti_GS/train/image/ndrishtiGS_008.png,Drishti_GS/train/mask/ndrishtiGS_008.png
Drishti_GS/train/image/ndrishtiGS_017.png,Drishti_GS/train/mask/ndrishtiGS_017.png
Drishti_GS/train/image/ndrishtiGS_018.png,Drishti_GS/train/mask/ndrishtiGS_018.png
Drishti_GS/train/image/ndrishtiGS_033.png,Drishti_GS/train/mask/ndrishtiGS_033.png
Drishti_GS/train/image/ndrishtiGS_035.png,Drishti_GS/train/mask/ndrishtiGS_035.png
Drishti_GS/train/image/ndrishtiGS_036.png,Drishti_GS/train/mask/ndrishtiGS_036.png
Drishti_GS/train/image/ndrishtiGS_037.png,Drishti_GS/train/mask/ndrishtiGS_037.png
Drishti_GS/train/image/ndrishtiGS_041.png,Drishti_GS/train/mask/ndrishtiGS_041.png
Drishti_GS/train/image/ndrishtiGS_042.png,Drishti_GS/train/mask/ndrishtiGS_042.png
Drishti_GS/train/image/ndrishtiGS_046.png,Drishti_GS/train/mask/ndrishtiGS_046.png
Drishti_GS/train/image/ndrishtiGS_047.png,Drishti_GS/train/mask/ndrishtiGS_047.png
Drishti_GS/train/image/ndrishtiGS_057.png,Drishti_GS/train/mask/ndrishtiGS_057.png
Drishti_GS/train/image/ndrishtiGS_089.png,Drishti_GS/train/mask/ndrishtiGS_089.png
Drishti_GS/train/image/ndrishtiGS_090.png,Drishti_GS/train/mask/ndrishtiGS_090.png
Drishti_GS/train/image/ndrishtiGS_092.png,Drishti_GS/train/mask/ndrishtiGS_092.png
Drishti_GS/train/image/ndrishtiGS_094.png,Drishti_GS/train/mask/ndrishtiGS_094.png
Drishti_GS/train/image/ndrishtiGS_098.png,Drishti_GS/train/mask/ndrishtiGS_098.png
Drishti_GS/train/image/ndrishtiGS_101.png,Drishti_GS/train/mask/ndrishtiGS_101.png
Drishti_GS/test/image/gdrishtiGS_025.png,Drishti_GS/test/mask/gdrishtiGS_025.png
Drishti_GS/test/image/gdrishtiGS_027.png,Drishti_GS/test/mask/gdrishtiGS_027.png
Drishti_GS/test/image/gdrishtiGS_028.png,Drishti_GS/test/mask/gdrishtiGS_028.png
Drishti_GS/test/image/gdrishtiGS_029.png,Drishti_GS/test/mask/gdrishtiGS_029.png
Drishti_GS/test/image/gdrishtiGS_030.png,Drishti_GS/test/mask/gdrishtiGS_030.png
Drishti_GS/test/image/gdrishtiGS_034.png,Drishti_GS/test/mask/gdrishtiGS_034.png
Drishti_GS/test/image/gdrishtiGS_039.png,Drishti_GS/test/mask/gdrishtiGS_039.png
Drishti_GS/test/image/gdrishtiGS_043.png,Drishti_GS/test/mask/gdrishtiGS_043.png
Drishti_GS/test/image/gdrishtiGS_048.png,Drishti_GS/test/mask/gdrishtiGS_048.png
Drishti_GS/test/image/gdrishtiGS_050.png,Drishti_GS/test/mask/gdrishtiGS_050.png
Drishti_GS/test/image/gdrishtiGS_052.png,Drishti_GS/test/mask/gdrishtiGS_052.png
Drishti_GS/test/image/gdrishtiGS_053.png,Drishti_GS/test/mask/gdrishtiGS_053.png
Drishti_GS/test/image/gdrishtiGS_054.png,Drishti_GS/test/mask/gdrishtiGS_054.png
Drishti_GS/test/image/gdrishtiGS_055.png,Drishti_GS/test/mask/gdrishtiGS_055.png
Drishti_GS/test/image/gdrishtiGS_056.png,Drishti_GS/test/mask/gdrishtiGS_056.png
Drishti_GS/test/image/gdrishtiGS_059.png,Drishti_GS/test/mask/gdrishtiGS_059.png
Drishti_GS/test/image/gdrishtiGS_065.png,Drishti_GS/test/mask/gdrishtiGS_065.png
Drishti_GS/test/image/gdrishtiGS_067.png,Drishti_GS/test/mask/gdrishtiGS_067.png
Drishti_GS/test/image/gdrishtiGS_070.png,Drishti_GS/test/mask/gdrishtiGS_070.png
Drishti_GS/test/image/gdrishtiGS_071.png,Drishti_GS/test/mask/gdrishtiGS_071.png
Drishti_GS/test/image/gdrishtiGS_073.png,Drishti_GS/test/mask/gdrishtiGS_073.png
Drishti_GS/test/image/gdrishtiGS_074.png,Drishti_GS/test/mask/gdrishtiGS_074.png
Drishti_GS/test/image/gdrishtiGS_077.png,Drishti_GS/test/mask/gdrishtiGS_077.png
Drishti_GS/test/image/gdrishtiGS_079.png,Drishti_GS/test/mask/gdrishtiGS_079.png
Drishti_GS/test/image/gdrishtiGS_082.png,Drishti_GS/test/mask/gdrishtiGS_082.png
Drishti_GS/test/image/gdrishtiGS_083.png,Drishti_GS/test/mask/gdrishtiGS_083.png
Drishti_GS/test/image/gdrishtiGS_086.png,Drishti_GS/test/mask/gdrishtiGS_086.png
Drishti_GS/test/image/gdrishtiGS_087.png,Drishti_GS/test/mask/gdrishtiGS_087.png
Drishti_GS/test/image/ndrishtiGS_007.png,Drishti_GS/test/mask/ndrishtiGS_007.png
Drishti_GS/test/image/ndrishtiGS_009.png,Drishti_GS/test/mask/ndrishtiGS_009.png
Drishti_GS/test/image/ndrishtiGS_013.png,Drishti_GS/test/mask/ndrishtiGS_013.png
Drishti_GS/test/image/ndrishtiGS_072.png,Drishti_GS/test/mask/ndrishtiGS_072.png
Drishti_GS/test/image/ndrishtiGS_078.png,Drishti_GS/test/mask/ndrishtiGS_078.png
Drishti_GS/test/image/ndrishtiGS_085.png,Drishti_GS/test/mask/ndrishtiGS_085.png
Drishti_GS/test/image/ndrishtiGS_091.png,Drishti_GS/test/mask/ndrishtiGS_091.png
Drishti_GS/test/image/ndrishtiGS_093.png,Drishti_GS/test/mask/ndrishtiGS_093.png
Drishti_GS/test/image/ndrishtiGS_095.png,Drishti_GS/test/mask/ndrishtiGS_095.png
Drishti_GS/test/image/ndrishtiGS_096.png,Drishti_GS/test/mask/ndrishtiGS_096.png
Drishti_GS/test/image/ndrishtiGS_097.png,Drishti_GS/test/mask/ndrishtiGS_097.png
Drishti_GS/test/image/ndrishtiGS_099.png,Drishti_GS/test/mask/ndrishtiGS_099.png
Drishti_GS/test/image/ndrishtiGS_100.png,Drishti_GS/test/mask/ndrishtiGS_100.png